loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), baroAlt, rssi, gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], accSmooth[0], accSmooth[1], accSmooth[2], debug[0], debug[1], debug[2], debug[3], debug[4], debug[5], debug[6], debug[7], motor[0], motor[1], motor[2], motor[3], eRPM[0], eRPM[1], eRPM[2], eRPM[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 35632945,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,  -1, -29,  89, 2038,  -1,   0,  -1,   0,   0,   0,   0,   0, 163, 162, 165, 165,  12,  12,  12,  17, 0, 0, 0, IDLE, 0, 0
  1, 35633195,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   0, -29,  89, 2038,   0,   0,   0,   0,   0,   0,   0,   0, 163, 162, 166, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  2, 35633447,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   0, -29,  89, 2038,   0,   0,   0,   0,   0,   0,   0,   0, 163, 162, 166, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  3, 35633699,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   0, -32,  90, 2037,   0,   0,   0,   0,   0,   0,   0,   0, 163, 161, 167, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  4, 35633950,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   0, -32,  90, 2037,   0,   0,   0,   0,   0,   0,   0,   0, 163, 161, 167, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  5, 35634202,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   0, -32,  90, 2037,   0,   0,   0,   0,   0,   0,   0,   0, 163, 161, 167, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  6, 35634456,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   1, -32,  90, 2037,   0,   0,   1,   0,   0,   0,   0,   0, 163, 161, 167, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  7, 35634705,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   1, -31,  92, 2038,   0,   0,   1,   0,   0,   0,   0,   0, 163, 162, 166, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  8, 35634959,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   1, -31,  92, 2038,   0,   0,   1,   0,   0,   0,   0,   0, 163, 162, 166, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
  9, 35635209,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 16.49, 1.25,   0, 535,   0,   0,   0,   0,   0,   1, -31,  92, 2038,   0,   0,   1,   0,   0,   0,   0,   0, 164, 162, 166, 165,  12,  12,  12,  17, 25, ANGLE_MODE, 0, IDLE, 1, 1
